N,A,pre_label
1.25E-06,0.001546528,0
0.047996266,3.67E-05,0
0.000185697,0.000185697,0
0.000185697,0.000185697,0
0.000185697,0.999481355,1
3.67E-05,3.67E-05,0
0.000276002,3.67E-05,0
0.000185697,3.67E-05,0
0.000185697,0.000276002,0
3.67E-05,0.000276002,0
0.000185697,0.000276002,0
0.000185697,1.86E-06,0
0.000185697,3.67E-05,0
0.000185697,1.86E-06,0
0.000185697,1.86E-06,0
3.67E-05,0.000276002,0
3.67E-05,1.86E-06,0
3.67E-05,1.86E-06,0
3.67E-05,1.86E-06,0
0.000276002,1.86E-06,0
0.000276002,1.86E-06,0
0.000185697,0.000276002,0
0.000276002,1.86E-06,0
0.000185697,1.86E-06,0
3.67E-05,1.86E-06,0
0.000185697,1.86E-06,0
3.67E-05,0.000276002,0
0.000185697,0.000276002,0
0.000185697,0.000276002,0
0.000185697,1.86E-06,0
0.000185697,1.86E-06,0
0.000185697,1.86E-06,0
0.000276002,1.86E-06,0
0.000185697,3.67E-05,0
0.000185697,1.86E-06,0
0.000185697,1.86E-06,0
0.000185697,1.86E-06,0
0.000185697,1.86E-06,0
0.000185697,1.86E-06,0
0.000185697,0.000276002,0
3.67E-05,1,1
0.000185697,1.86E-06,0
0.000276002,1,1
0.000185697,1.86E-06,0
0.000185697,1.86E-06,0
0.000276002,1.86E-06,0
0.000185697,1.86E-06,0
0.000185697,1,1
0.000185697,1.86E-06,0
0.000185697,1.86E-06,0
3.67E-05,1.86E-06,0
0.000185697,1.86E-06,0
0.000185697,1.86E-06,0
3.67E-05,1.86E-06,0
0.000185697,1.86E-06,0
0.000185697,1.86E-06,0
0.000185697,1.86E-06,0
0.000185697,1.86E-06,0
0.000276002,1.86E-06,0
0.000276002,1.86E-06,0
0.000276002,1,1
0.000185697,0.000276002,0
0.000185697,1.86E-06,0
0.000185697,1.86E-06,0
0.000185697,1,1
0.000185697,1,1
0.000185697,1,1
0.000276002,1.86E-06,0
0.000185697,1.86E-06,0
0.000185697,1.86E-06,0
3.67E-05,1,1
0.000185697,1.86E-06,0
0.000185697,1,1
0.000185697,1.86E-06,0
0.000185697,1.86E-06,0
0.000276002,0.000276002,0
0.000185697,1.86E-06,0
3.67E-05,1.86E-06,0
3.67E-05,1,1
0.000185697,1.86E-06,0
0.000185697,1,1
0.000276002,1.86E-06,0
0.000276002,1.86E-06,0
0.000276002,1,1
0.000185697,1,1
3.67E-05,1,1
0.000185697,1.86E-06,0
0.000185697,1.86E-06,0
0.000185697,1.86E-06,0
0.000185697,1.86E-06,0
0.000185697,1,1
0.000185697,1.86E-06,0
0.000185697,1.86E-06,0
0.000276002,1.86E-06,0
0.000185697,1,1
0.000185697,1,1
0.000185697,1,1
0.000185697,1.86E-06,0
0.000276002,1,1
0.000185697,1,1
0.000185697,1.86E-06,0
0.000185697,1,1
3.67E-05,1,1
0.000185697,1,1
0.000185697,1,1
3.67E-05,1,1
0.000185697,1.86E-06,0
0.000185697,1,1
0.000185697,1,1
0.000185697,1.86E-06,0
3.67E-05,1.86E-06,0
0.000185697,1,1
0.000276002,1,1
3.67E-05,1,1
0.000185697,1,1
0.000185697,1,1
3.67E-05,1,1
3.67E-05,1,1
3.67E-05,1,1
0.000185697,1,1
0.000185697,1,1
0.000185697,1,1
0.000185697,1,1
0.000185697,1.86E-06,0
0.000185697,1,1
0.000185697,1.86E-06,0
0.000185697,1,1
0.000185697,1,1
0.000185697,1,1
3.67E-05,1.86E-06,0
0.000185697,1,1
0.000185697,1,1
3.67E-05,1,1
0.000185697,1.86E-06,0
0.000185697,1.86E-06,0
0.000185697,1.86E-06,0
0.000185697,1,1
0.000185697,1.86E-06,0
0.000185697,1.86E-06,0
0.000185697,1,1
3.67E-05,1,1
0.000185697,1.86E-06,0
0.000185697,1.86E-06,0
3.67E-05,1,1
0.000185697,1,1
0.000185697,1,1
0.000185697,1.86E-06,0
0.000185697,1.86E-06,0
0.000185697,1,1
0.000185697,1.86E-06,0
0.000276002,1.86E-06,0
0.000185697,1.86E-06,0
3.67E-05,0.000276002,0
0.000185697,1,1
0.000185697,1.86E-06,0
0.000185697,1,1
0.000185697,,0
0.000185697,,0
3.67E-05,,0
0.000185697,,0
3.67E-05,,0
0.000185697,,0
3.67E-05,,0
0.000185697,,0
0.000185697,,0
0.000276002,,0
0.000185697,,0
3.67E-05,,0
0.000276002,,0
3.67E-05,,0
0.000276002,,0
0.000185697,,0
0.000185697,,0
0.000185697,,0
0.000276002,,0
0.000185697,,0
0.000185697,,0
0.000185697,,0
0.000185697,,0
0.000185697,,0
0.000185697,,0
3.67E-05,,0
0.000185697,,0
0.000185697,,0
0.000276002,,0
0.000185697,,0
0.000185697,,0
0.000185697,,0
0.000185697,,0
3.67E-05,,0
3.67E-05,,0
0.000185697,,0
0.000185697,,0
0.000185697,,0
3.67E-05,,0
0.000276002,,0
0.000276002,,0
3.67E-05,,0
0.000185697,,0
0.000185697,,0
0.000185697,,0
0.000185697,,0
0.000276002,,0
0.000185697,,0
0.000185697,,0
3.67E-05,,0
0.000185697,,0
0.000276002,,0
3.67E-05,,0
0.000185697,,0
0.000185697,,0
0.000276002,,0
3.67E-05,,0
0.000185697,,0
0.000185697,,0
0.000185697,,0
3.67E-05,,0
0.000185697,,0
3.67E-05,,0
0.000185697,,0
3.67E-05,,0
3.67E-05,,0
3.67E-05,,0
0.000276002,,0
0.000185697,,0
0.000185697,,0
0.000185697,,0
3.67E-05,,0
0.000276002,,0
0.000185697,,0
0.000276002,,0
0.000185697,,0
0.000185697,,0
0.000185697,,0
0.000185697,,0
0.000276002,,0
0.000185697,,0
0.000185697,,0
0.000185697,,0
0.000185697,,0
0.000185697,,0
0.000276002,,0
0.000185697,,0
3.67E-05,,0
0.000276002,,0
0.000185697,,0
0.000185697,,0
0.000276002,,0
0.000185697,,0
0.000185697,,0
3.67E-05,,0
0.000185697,,0
0.000276002,,0
0.000276002,,0
3.67E-05,,0
1.86E-06,,0
0.000185697,,0
0.000276002,,0
3.67E-05,,0
0.000185697,,0
0.000185697,,0
3.67E-05,,0
