N,A,pre_label
0,9.164710481,1
1,-4.258794315,0
2,-4.682557463,0
3,-4.682557463,0
4,23.85076862,1
5,-4.258794315,0
6,-4.258794315,0
7,-4.258794315,0
8,-3.835031167,0
9,-3.835031167,0
10,-3.835031167,0
11,-3.411268019,0
12,-4.258794315,0
13,-3.411268019,0
14,-3.411268019,0
15,-3.835031167,0
16,-3.411268019,0
17,-3.411268019,0
18,-3.411268019,0
19,-3.411268019,0
20,-3.411268019,0
21,-3.835031167,0
22,-3.411268019,0
23,-3.411268019,0
24,-3.411268019,0
25,-3.411268019,0
26,-3.835031167,0
27,-3.835031167,0
28,-3.835031167,0
29,-3.411268019,0
30,-3.411268019,0
31,-3.411268019,0
32,-3.411268019,0
33,-4.258794315,0
34,-3.411268019,0
35,-3.411268019,0
36,-3.411268019,0
37,-3.411268019,0
38,-3.411268019,0
39,-3.835031167,0
40,0.993374487,1
41,-3.411268019,0
42,0.993374487,1
43,-3.411268019,0
44,-3.411268019,0
45,-3.411268019,0
46,-3.411268019,0
47,0.993374487,1
48,-3.411268019,0
49,-3.411268019,0
50,-3.411268019,0
51,-3.411268019,0
52,-3.411268019,0
53,-3.411268019,0
54,-3.411268019,0
55,-3.411268019,0
56,-3.411268019,0
57,-3.411268019,0
58,-3.411268019,0
59,-3.411268019,0
60,12.54076929,1
61,-3.835031167,0
62,-3.411268019,0
63,-3.411268019,0
64,0.993374487,1
65,12.54076929,1
66,0.993374487,1
67,-3.411268019,0
68,-3.411268019,0
69,-3.411268019,0
70,0.993374487,1
71,-3.411268019,0
72,12.54076929,1
73,-3.411268019,0
74,-3.411268019,0
75,-3.835031167,0
76,-3.411268019,0
77,-3.411268019,0
78,0.993374487,1
79,-3.411268019,0
80,12.54076929,1
81,-3.411268019,0
82,-3.411268019,0
83,12.54076929,1
84,0.993374487,1
85,12.54076929,1
86,-3.411268019,0
87,-3.411268019,0
88,-3.411268019,0
89,-3.411268019,0
90,12.54076929,1
91,-3.411268019,0
92,-3.411268019,0
93,-3.411268019,0
94,0.993374487,1
95,0.993374487,1
96,12.54076929,1
97,-3.411268019,0
98,0.993374487,1
99,12.54076929,1
100,-3.411268019,0
101,12.54076929,1
102,0.993374487,1
103,0.993374487,1
104,12.54076929,1
105,12.54076929,1
106,-3.411268019,0
107,0.993374487,1
108,12.54076929,1
109,-3.411268019,0
110,-3.411268019,0
111,12.54076929,1
112,12.54076929,1
113,0.993374487,1
114,0.993374487,1
115,12.54076929,1
116,0.993374487,1
117,0.993374487,1
118,12.54076929,1
119,12.54076929,1
120,12.54076929,1
121,0.993374487,1
122,0.993374487,1
123,-3.411268019,0
124,12.54076929,1
125,-3.411268019,0
126,12.54076929,1
127,0.993374487,1
128,0.993374487,1
129,-3.411268019,0
130,0.993374487,1
131,12.54076929,1
132,0.993374487,1
133,-3.411268019,0
134,-3.411268019,0
135,-3.411268019,0
136,12.54076929,1
137,-3.411268019,0
138,-3.411268019,0
139,0.993374487,1
140,0.993374487,1
141,-3.411268019,0
142,-3.411268019,0
143,0.993374487,1
144,0.993374487,1
145,12.54076929,1
146,-3.411268019,0
147,-3.411268019,0
148,12.54076929,1
149,-3.411268019,0
150,-3.411268019,0
151,-3.411268019,0
152,-3.835031167,0
153,12.54076929,1
154,-3.411268019,0
155,12.54076929,1
156,-10.28116254,0
157,-4.196843682,0
158,-4.682557463,0
159,-4.682557463,0
160,-4.682557463,0
161,-4.258794315,0
162,-3.835031167,0
163,-4.682557463,0
164,-4.682557463,0
165,-4.258794315,0
166,-4.682557463,0
167,-4.682557463,0
168,-4.682557463,0
169,-4.682557463,0
170,-4.682557463,0
171,-4.258794315,0
172,-4.258794315,0
173,-4.258794315,0
174,-4.258794315,0
175,-3.835031167,0
176,-3.835031167,0
177,-4.682557463,0
178,-3.835031167,0
179,-4.682557463,0
180,-4.258794315,0
181,-4.682557463,0
182,-4.258794315,0
183,-4.682557463,0
184,-4.682557463,0
185,-4.682557463,0
186,-4.682557463,0
187,-4.682557463,0
188,-3.835031167,0
189,-4.682557463,0
190,-4.682557463,0
191,-4.682557463,0
192,-4.682557463,0
193,-4.682557463,0
194,-4.682557463,0
195,-4.682557463,0
196,-4.258794315,0
197,-4.682557463,0
198,-3.835031167,0
199,-4.682557463,0
200,-4.682557463,0
201,-3.835031167,0
202,-4.682557463,0
203,-4.682557463,0
204,-4.682557463,0
205,-4.682557463,0
206,-4.258794315,0
207,-4.682557463,0
208,-4.682557463,0
209,-4.258794315,0
210,-4.682557463,0
211,-4.682557463,0
212,-4.682557463,0
213,-4.682557463,0
214,-3.835031167,0
215,-3.835031167,0
216,-3.835031167,0
217,-4.682557463,0
218,-4.682557463,0
219,-4.682557463,0
220,-4.682557463,0
221,-4.682557463,0
222,-4.682557463,0
223,-3.835031167,0
224,-4.682557463,0
225,-4.682557463,0
226,-4.258794315,0
227,-4.682557463,0
228,-4.682557463,0
229,-4.682557463,0
230,-4.682557463,0
231,-3.835031167,0
232,-4.682557463,0
233,-4.258794315,0
234,-4.258794315,0
235,-4.682557463,0
236,-4.682557463,0
237,-3.835031167,0
238,-3.835031167,0
239,-3.835031167,0
240,-4.682557463,0
241,-4.258794315,0
242,-4.682557463,0
243,-4.682557463,0
244,-4.682557463,0
245,-4.682557463,0
246,-4.682557463,0
247,-4.682557463,0
248,-4.682557463,0
249,-3.835031167,0
250,-4.682557463,0
251,-4.682557463,0
252,-4.682557463,0
253,-4.682557463,0
254,-3.835031167,0
255,-4.682557463,0
256,-4.682557463,0
257,-4.682557463,0
258,-4.258794315,0
259,-4.682557463,0
260,-4.682557463,0
261,-4.258794315,0
262,-4.682557463,0
263,-4.682557463,0
264,-4.682557463,0
265,-4.682557463,0
266,-4.258794315,0
267,-4.682557463,0
268,-3.835031167,0
269,-4.258794315,0
270,-4.682557463,0
271,-4.682557463,0
272,-4.258794315,0
273,-4.258794315,0
274,-4.258794315,0
275,-4.682557463,0
276,-4.682557463,0
277,-4.682557463,0
278,-4.682557463,0
279,-4.682557463,0
280,-4.682557463,0
281,-4.682557463,0
282,-4.682557463,0
283,-4.682557463,0
284,-4.682557463,0
285,-4.258794315,0
286,-4.682557463,0
287,-4.682557463,0
288,-4.258794315,0
289,-4.682557463,0
290,-4.682557463,0
291,-4.682557463,0
292,-4.682557463,0
293,-4.682557463,0
294,-4.682557463,0
295,-4.682557463,0
296,-4.258794315,0
297,-4.682557463,0
298,-4.682557463,0
299,-4.258794315,0
300,-4.682557463,0
301,-4.682557463,0
302,-4.682557463,0
303,-4.682557463,0
304,-4.682557463,0
305,-4.682557463,0
306,-3.835031167,0
307,-4.682557463,0
308,-4.258794315,0
309,-4.682557463,0
310,-4.682557463,0
311,-4.682557463,0
312,-4.682557463,0
313,-4.682557463,0
314,-4.258794315,0
315,-4.682557463,0
316,-4.258794315,0
317,-4.682557463,0
318,-4.258794315,0
319,-4.682557463,0
320,-4.682557463,0
321,-3.835031167,0
322,-4.682557463,0
323,-4.258794315,0
324,-3.835031167,0
325,-4.258794315,0
326,-3.835031167,0
327,-4.682557463,0
328,-4.682557463,0
329,-4.682557463,0
330,-3.835031167,0
331,-4.682557463,0
332,-4.682557463,0
333,-4.682557463,0
334,-4.682557463,0
335,-4.682557463,0
336,-4.682557463,0
337,-4.258794315,0
338,-4.682557463,0
339,-4.682557463,0
340,-3.835031167,0
341,-4.682557463,0
342,-4.682557463,0
343,-4.682557463,0
344,-4.682557463,0
345,-4.258794315,0
346,-4.258794315,0
347,-4.682557463,0
348,-4.682557463,0
349,-4.682557463,0
350,-4.258794315,0
351,-3.835031167,0
352,-3.835031167,0
353,-4.258794315,0
354,-4.682557463,0
355,-4.682557463,0
356,-4.682557463,0
357,-4.682557463,0
358,-3.835031167,0
359,-4.682557463,0
360,-4.682557463,0
361,-4.258794315,0
362,-4.682557463,0
363,-3.835031167,0
364,-4.258794315,0
365,-4.682557463,0
366,-4.682557463,0
367,-3.835031167,0
368,-4.258794315,0
369,-4.682557463,0
370,-4.682557463,0
371,-4.682557463,0
372,-4.258794315,0
373,-4.682557463,0
374,-4.258794315,0
375,-4.682557463,0
376,-4.258794315,0
377,-4.258794315,0
378,-4.258794315,0
379,-3.835031167,0
380,-4.682557463,0
381,-4.682557463,0
382,-4.682557463,0
383,-4.258794315,0
384,-3.835031167,0
385,-4.682557463,0
386,-3.835031167,0
387,-4.682557463,0
388,-4.682557463,0
389,-4.682557463,0
390,-4.682557463,0
391,-3.835031167,0
392,-4.682557463,0
393,-4.682557463,0
394,-4.682557463,0
395,-4.682557463,0
396,-4.682557463,0
397,-3.835031167,0
398,-4.682557463,0
399,-4.258794315,0
400,-3.835031167,0
401,-4.682557463,0
402,-4.682557463,0
403,-3.835031167,0
404,-4.682557463,0
405,-4.682557463,0
406,-4.258794315,0
407,-4.682557463,0
408,-3.835031167,0
409,-3.835031167,0
410,-4.258794315,0
411,-3.411268019,0
412,-4.682557463,0
413,-3.835031167,0
414,-4.258794315,0
415,-4.682557463,0
416,-4.682557463,0
417,-4.258794315,0
418,-4.258794315,0
419,-4.258794315,0
420,-3.835031167,0
421,-3.835031167,0
422,-4.682557463,0
423,-4.682557463,0
424,-4.682557463,0
425,-4.258794315,0
426,-4.258794315,0
427,-4.682557463,0
428,-4.682557463,0
429,-4.258794315,0
430,-4.682557463,0
431,-3.835031167,0
432,-4.682557463,0
433,-4.258794315,0
434,-3.835031167,0
435,-4.258794315,0
436,-4.258794315,0
437,-4.258794315,0
438,-4.682557463,0
439,-4.682557463,0
440,-3.835031167,0
441,-4.682557463,0
442,-3.835031167,0
443,-4.682557463,0
444,-4.682557463,0
445,-4.682557463,0
446,-4.682557463,0
447,-3.411268019,0
448,-4.682557463,0
449,-3.835031167,0
450,-3.835031167,0
451,-4.258794315,0
452,-4.258794315,0
453,-3.835031167,0
454,-3.835031167,0
455,-3.835031167,0
456,-4.682557463,0
457,-4.682557463,0
458,-3.835031167,0
459,-4.682557463,0
460,-3.835031167,0
461,-4.258794315,0
462,-3.835031167,0
463,-4.258794315,0
464,-3.835031167,0
465,-4.258794315,0
466,-3.411268019,0
467,-4.258794315,0
468,-3.835031167,0
469,-4.258794315,0
470,-4.682557463,0
471,-4.682557463,0
472,-4.258794315,0
473,-4.682557463,0
474,-4.682557463,0
475,-3.835031167,0
476,-3.835031167,0
477,-4.682557463,0
478,-4.258794315,0
479,-4.682557463,0
480,-4.258794315,0
481,-4.682557463,0
482,-4.258794315,0
483,-4.258794315,0
484,-4.258794315,0
485,-4.682557463,0
486,-3.411268019,0
487,-4.682557463,0
488,-4.258794315,0
489,-4.258794315,0
490,-3.835031167,0
491,-4.682557463,0
492,-4.258794315,0
493,-4.682557463,0
494,-4.682557463,0
495,-4.682557463,0
496,-4.682557463,0
497,-3.411268019,0
498,-4.682557463,0
499,-3.411268019,0
500,-4.682557463,0
501,-4.258794315,0
502,-4.682557463,0
503,-4.682557463,0
504,-3.835031167,0
505,-3.411268019,0
506,-4.682557463,0
507,-4.682557463,0
508,-4.258794315,0
509,-3.835031167,0
510,-4.258794315,0
511,-4.682557463,0
512,-4.258794315,0
513,-4.682557463,0
514,-4.258794315,0
515,-3.835031167,0
516,-4.258794315,0
517,-4.682557463,0
518,-4.682557463,0
519,-4.258794315,0
520,-4.258794315,0
521,-4.258794315,0
522,-3.835031167,0
523,-3.411268019,0
524,-3.835031167,0
525,-3.411268019,0
526,-3.835031167,0
527,-4.258794315,0
528,-3.835031167,0
529,-3.835031167,0
530,-4.258794315,0
531,-4.258794315,0
532,-3.835031167,0
533,-4.682557463,0
534,-3.835031167,0
535,-4.682557463,0
536,-4.258794315,0
537,-3.835031167,0
538,-4.682557463,0
539,-3.835031167,0
540,-3.835031167,0
541,-4.682557463,0
542,-3.835031167,0
543,-3.411268019,0
544,-4.258794315,0
545,-3.411268019,0
546,-4.258794315,0
547,-4.258794315,0
548,-4.258794315,0
549,-3.411268019,0
550,-3.835031167,0
551,-3.411268019,0
552,-4.258794315,0
553,-4.682557463,0
554,-4.258794315,0
555,-4.258794315,0
556,-4.258794315,0
557,-4.258794315,0
558,-4.258794315,0
559,-3.411268019,0
560,-4.258794315,0
561,-4.258794315,0
562,-4.258794315,0
563,-4.258794315,0
564,-4.258794315,0
565,-4.258794315,0
566,-3.835031167,0
567,-3.835031167,0
568,-3.835031167,0
569,-4.258794315,0
570,-3.411268019,0
571,-4.682557463,0
572,-4.258794315,0
573,-3.835031167,0
574,-3.411268019,0
575,-4.258794315,0
576,-4.682557463,0
577,-4.682557463,0
578,-4.258794315,0
579,-4.258794315,0
580,-4.682557463,0
581,-3.835031167,0
582,-4.682557463,0
583,-4.258794315,0
584,-4.258794315,0
585,-3.835031167,0
586,-3.835031167,0
587,-4.258794315,0
588,-4.682557463,0
589,-3.835031167,0
590,-4.682557463,0
591,-4.258794315,0
592,-3.835031167,0
593,-3.835031167,0
594,-3.835031167,0
595,-3.835031167,0
596,-4.258794315,0
