,score,pre,lable
0,-11.23248455,0,0
1,-11.15835462,0,0
2,-11.10499416,0,0
3,-11.10499416,0,0
4,-11.10499416,0,0
5,-11.15835462,0,0
6,-11.31676662,0,0
7,-11.10499416,0,0
8,-11.1231842,0,0
9,-11.10499416,0,0
10,-11.10499416,0,0
11,-11.10499416,0,0
12,-11.10499416,0,0
13,-11.1231842,0,0
14,-11.31676662,0,0
15,-11.31676662,0,0
16,-11.10499416,0,0
17,-11.06991859,0,0
18,-11.1231842,0,0
19,-10.52926701,0,0
20,-11.1231842,0,0
21,-11.02164446,0,0
22,-11.1231842,0,0
23,-11.1231842,0,0
24,-11.23248455,0,0
25,-11.23248455,0,0
26,-11.10499416,0,0
27,-11.1231842,0,0
28,-11.31676662,0,0
29,-11.31676662,0,0
30,-11.10499416,0,0
31,-11.06991859,0,0
32,-11.1231842,0,0
33,-10.52926701,0,0
34,-11.1231842,0,0
35,-11.02164446,0,0
36,-11.1231842,0,0
37,-11.1231842,0,0
38,-11.23248455,0,0
39,-11.23248455,0,0
40,-11.15835462,0,0
41,-11.31676662,0,0
42,-11.10499416,0,0
43,-11.10499416,0,0
44,-11.10499416,0,0
45,-11.10499416,0,0
46,-11.10499416,0,0
47,-11.1231842,0,0
48,-11.31676662,0,0
49,-11.31676662,0,0
50,-11.10499416,0,0
51,-11.06991859,0,0
52,-11.1231842,0,0
53,-10.52926701,0,0
54,-11.1231842,0,0
55,-11.02164446,0,0
56,-11.1231842,0,0
57,-11.10499416,0,0
58,-11.1231842,0,0
59,-11.1231842,0,0
60,-11.31676662,0,0
61,-11.23248455,0,0
62,-11.31676662,0,0
63,-11.23248455,0,0
64,-11.10499416,0,0
65,-11.06991859,0,0
66,-11.1231842,0,0
67,-11.1231842,0,0
68,-10.94594739,0,0
69,-11.1231842,0,0
70,-11.1231842,0,0
71,-11.1231842,0,0
72,-11.1231842,0,0
73,-11.02164446,0,0
74,-11.1231842,0,0
75,-11.1231842,0,0
76,-11.23248455,0,0
77,-11.23248455,0,0
78,-11.15835462,0,0
79,-11.31676662,0,0
80,-11.10499416,0,0
81,-11.10499416,0,0
82,-11.10499416,0,0
83,-11.10499416,0,0
84,-11.10499416,0,0
85,-11.1231842,0,0
86,-11.31676662,0,0
87,-11.31676662,0,0
88,-11.10499416,0,0
89,-11.06991859,0,0
90,-11.1231842,0,0
91,-11.1231842,0,0
92,-10.94594739,0,0
93,-11.1231842,0,0
94,-11.1231842,0,0
95,-11.1231842,0,0
96,-11.02164446,0,0
97,-11.1231842,0,0
98,-11.1231842,0,0
99,-11.23248455,0,0
100,-11.23248455,0,0
101,-11.15835462,0,0
102,-11.31676662,0,0
103,-11.10499416,0,0
104,-11.10499416,0,0
105,-11.10499416,0,0
106,-11.10499416,0,0
107,-11.10499416,0,0
108,-11.1231842,0,0
109,-11.31676662,0,0
110,-11.31676662,0,0
111,-11.1231842,0,0
112,-11.10499416,0,0
113,-11.15835462,0,0
114,-11.31676662,0,0
115,-11.10499416,0,0
116,-11.10499416,0,0
117,-11.10499416,0,0
118,-11.10499416,0,0
119,-11.10499416,0,0
120,-11.1231842,0,0
121,-11.31676662,0,0
122,-11.31676662,0,0
123,-11.10499416,0,0
124,-11.06991859,0,0
125,-11.1231842,0,0
126,-11.1231842,0,0
127,-10.94594739,0,0
128,-11.1231842,0,0
129,-11.1231842,0,0
130,-11.1231842,0,0
131,-11.02164446,0,0
132,-11.1231842,0,0
133,-11.1231842,0,0
134,-11.23248455,0,0
135,-11.23248455,0,0
136,-11.15835462,0,0
137,-11.31676662,0,0
138,-11.10499416,0,0
139,-11.10499416,0,0
140,-11.10499416,0,0
141,-11.10499416,0,0
142,-11.15835462,0,0
143,-11.31676662,0,0
144,-11.10499416,0,0
145,-11.10499416,0,0
146,-11.10499416,0,0
147,-11.10499416,0,0
148,-11.10499416,0,0
149,-11.1231842,0,0
150,-11.31676662,0,0
151,-11.31676662,0,0
152,-11.10499416,0,0
153,-11.06991859,0,0
154,-11.1231842,0,0
155,-11.1231842,0,0
156,-10.94594739,0,0
157,-11.1231842,0,0
158,-11.1231842,0,0
159,-11.1231842,0,0
160,-11.1231842,0,0
161,-11.02164446,0,0
162,-11.1231842,0,0
163,-11.1231842,0,0
164,-11.23248455,0,0
165,-11.23248455,0,0
166,-11.15835462,0,0
167,-11.31676662,0,0
168,-11.10499416,0,0
169,-11.10499416,0,0
170,-11.10499416,0,0
171,-11.10499416,0,0
172,-11.10499416,0,0
173,-11.1231842,0,0
174,-11.31676662,0,0
175,-11.31676662,0,0
176,-11.10499416,0,0
177,-11.15835462,0,0
178,-11.31676662,0,0
179,-11.10499416,0,0
180,-11.10499416,0,0
181,-11.10499416,0,0
182,-11.10499416,0,0
183,-11.10499416,0,0
184,-11.1231842,0,0
185,-11.31676662,0,0
186,-11.31676662,0,0
187,-11.10499416,0,0
188,-11.06991859,0,0
189,-11.1231842,0,0
190,-11.1231842,0,0
191,-10.94594739,0,0
192,-11.1231842,0,0
193,-11.1231842,0,0
194,-11.1231842,0,0
195,-11.02164446,0,0
196,-11.1231842,0,0
197,-11.1231842,0,0
198,-11.23248455,0,0
199,-11.23248455,0,0
200,-11.10499416,0,0
201,-11.1231842,0,0
202,-11.1231842,0,0
203,-11.02164446,0,0
204,-11.1231842,0,0
205,-11.1231842,0,0
206,-11.23248455,0,0
207,-11.23248455,0,0
208,-11.15835462,0,0
209,-11.10499416,0,0
210,-11.10499416,0,0
211,-11.10499416,0,0
212,-11.15835462,0,0
213,-11.31676662,0,0
214,-11.10499416,0,0
215,-11.10499416,0,0
216,-11.10499416,0,0
217,-11.10499416,0,0
218,-11.15835462,0,0
219,-11.31676662,0,0
220,-11.10499416,0,0
221,-11.10499416,0,0
222,-11.10499416,0,0
223,-11.10499416,0,0
224,-11.10499416,0,0
225,-11.1231842,0,0
226,-11.31676662,0,0
227,-11.31676662,0,0
228,-11.10499416,0,0
229,-11.06991859,0,0
230,-11.1231842,0,0
231,-11.1231842,0,0
232,-10.94594739,0,0
233,-11.1231842,0,0
234,-11.1231842,0,0
235,-11.1231842,0,0
236,-11.1231842,0,0
237,-11.02164446,0,0
238,-11.1231842,0,0
239,-11.1231842,0,0
240,-11.23248455,0,0
241,-11.23248455,0,0
242,-11.15835462,0,0
243,-11.31676662,0,0
244,-11.10499416,0,0
245,-11.10499416,0,0
246,-11.10499416,0,0
247,-11.10499416,0,0
248,-11.15835462,0,0
249,-11.31676662,0,0
250,-11.10499416,0,0
251,-11.10499416,0,0
252,-11.10499416,0,0
253,-11.10499416,0,0
254,-11.10499416,0,0
255,-11.1231842,0,0
256,-11.31676662,0,0
257,-11.31676662,0,0
258,-11.10499416,0,0
259,-11.06991859,0,0
260,-11.1231842,0,0
261,-11.1231842,0,0
262,-10.94594739,0,0
263,-11.1231842,0,0
264,-11.1231842,0,0
265,-11.1231842,0,0
266,-11.02164446,0,0
267,-11.1231842,0,0
268,-11.1231842,0,0
269,-11.23248455,0,0
270,-11.23248455,0,0
271,-11.15835462,0,0
272,-11.31676662,0,0
273,-11.10499416,0,0
274,-11.10499416,0,0
275,-11.10499416,0,0
276,-11.10499416,0,0
277,-11.15835462,0,0
278,-11.31676662,0,0
279,-11.10499416,0,0
280,-11.10499416,0,0
281,-11.10499416,0,0
282,-11.10499416,0,0
283,-11.10499416,0,0
284,-11.1231842,0,0
285,-11.31676662,0,0
286,-11.31676662,0,0
287,-11.10499416,0,0
288,-11.06991859,0,0
289,-11.1231842,0,0
290,-11.1231842,0,0
291,-10.94594739,0,0
292,-11.1231842,0,0
293,-11.1231842,0,0
294,-11.1231842,0,0
295,-11.1231842,0,0
296,-11.02164446,0,0
297,-11.1231842,0,0
298,-11.1231842,0,0
299,-11.23248455,0,0
300,-11.23248455,0,0
301,-11.15835462,0,0
302,-11.31676662,0,0
303,-11.10499416,0,0
304,-11.10499416,0,0
305,-11.10499416,0,0
306,-11.10499416,0,0
307,-11.15835462,0,0
308,-11.31676662,0,0
309,-11.10499416,0,0
310,-11.10499416,0,0
311,-11.10499416,0,0
312,-11.10499416,0,0
313,-11.10499416,0,0
314,-11.1231842,0,0
315,-11.31676662,0,0
316,-11.31676662,0,0
317,-11.10499416,0,0
318,-11.06991859,0,0
319,-11.1231842,0,0
320,-11.1231842,0,0
321,-10.94594739,0,0
322,-11.1231842,0,0
323,-11.1231842,0,0
324,-11.1231842,0,0
325,-11.1231842,0,0
326,-11.02164446,0,0
327,-11.1231842,0,0
328,-11.1231842,0,0
329,-11.23248455,0,0
330,-11.23248455,0,0
331,-11.15835462,0,0
332,-11.31676662,0,0
333,-11.10499416,0,0
334,-11.10499416,0,0
335,-11.10499416,0,0
336,-11.10499416,0,0
337,-11.15835462,0,0
338,-11.31676662,0,0
339,-11.10499416,0,0
340,-11.10499416,0,0
341,-11.10499416,0,0
