N,A
-7.66E+00,4.50E+00
-7.77E+00,8.94E+00
-7.86E+00,8.94E+00
-7.86E+00,8.94E+00
-7.86E+00,8.94E+00
-7.86E+00,8.94E+00
-7.86E+00,8.94E+00
-7.86E+00,8.94E+00
-7.66E+00,8.94E+00
-1.11E+01,8.94E+00
-1.11E+01,8.94E+00
-7.66E+00,8.94E+00
-7.66E+00,8.94E+00
-1.11E+01,8.94E+00
-7.77E+00,8.94E+00
-1.11E+01,8.94E+00
-1.11E+01,8.94E+00
-7.77E+00,8.94E+00
-1.11E+01,8.94E+00
-1.11E+01,8.94E+00
-1.13E+01,8.94E+00
-1.13E+01,8.94E+00
-1.11E+01,8.94E+00
-1.11E+01,8.94E+00
-1.11E+01,8.94E+00
-1.11E+01,8.94E+00
-1.05E+01,8.94E+00
-1.11E+01,8.94E+00
-1.10E+01,8.94E+00
-1.11E+01,8.94E+00
-1.11E+01,8.94E+00
-1.12E+01,8.94E+00
-1.12E+01,8.94E+00
-1.12E+01,8.94E+00
-1.13E+01,8.94E+00
-1.11E+01,8.94E+00
-1.11E+01,8.94E+00
-1.11E+01,8.94E+00
-1.11E+01,8.94E+00
-1.11E+01,8.94E+00
-1.11E+01,8.94E+00
-1.13E+01,8.94E+00
-1.13E+01,8.94E+00
-1.11E+01,8.94E+00
-1.11E+01,8.94E+00
-1.11E+01,8.94E+00
-1.05E+01,8.94E+00
-1.11E+01,8.94E+00
-1.10E+01,8.94E+00
-1.11E+01,8.94E+00
-1.11E+01,8.94E+00
-1.11E+01,8.94E+00
-1.11E+01,8.94E+00
-1.13E+01,8.94E+00
-1.12E+01,8.94E+00
-1.13E+01,8.94E+00
-1.12E+01,8.94E+00
-1.11E+01,8.94E+00
-1.11E+01,8.94E+00
-1.11E+01,8.94E+00
-1.11E+01,8.94E+00
-1.09E+01,8.94E+00
-1.11E+01,8.94E+00
-1.11E+01,8.94E+00
-1.11E+01,8.94E+00
-1.10E+01,8.94E+00
-1.11E+01,8.94E+00
-1.11E+01,8.94E+00
-1.12E+01,8.94E+00
-1.12E+01,8.94E+00
-1.12E+01,8.94E+00
-1.13E+01,8.94E+00
-1.11E+01,8.94E+00
-1.11E+01,8.94E+00
-1.11E+01,8.94E+00
-1.11E+01,8.94E+00
-1.11E+01,8.94E+00
-1.11E+01,8.94E+00
-1.13E+01,8.94E+00
-1.13E+01,8.94E+00
-1.11E+01,8.94E+00
-1.11E+01,8.94E+00
-1.11E+01,8.94E+00
-1.11E+01,8.94E+00
-1.09E+01,8.94E+00
-1.11E+01,8.94E+00
-1.11E+01,8.94E+00
-1.11E+01,8.94E+00
-1.13E+01,8.94E+00
-1.13E+01,8.94E+00
-1.11E+01,8.94E+00
-1.11E+01,8.94E+00
-1.11E+01,8.94E+00
-1.11E+01,8.94E+00
-1.09E+01,8.94E+00
-1.11E+01,8.94E+00
-1.11E+01,8.94E+00
-1.11E+01,8.94E+00
-1.13E+01,8.94E+00
-1.13E+01,8.94E+00
-1.11E+01,8.94E+00
-1.11E+01,8.94E+00
-1.11E+01,8.94E+00
-1.11E+01,8.94E+00
-1.09E+01,8.94E+00
-1.11E+01,8.94E+00
-1.11E+01,8.94E+00
-1.11E+01,8.94E+00
-1.13E+01,8.94E+00
-1.13E+01,8.94E+00
-1.11E+01,8.94E+00
-1.11E+01,8.94E+00
-1.11E+01,8.94E+00
-1.13E+01,8.94E+00
-1.13E+01,8.94E+00
-1.11E+01,8.94E+00
-1.11E+01,8.94E+00
-1.11E+01,8.94E+00
-1.11E+01,8.94E+00
-1.05E+01,8.94E+00
-1.11E+01,8.94E+00
-1.10E+01,8.94E+00
-1.11E+01,8.94E+00
-1.11E+01,8.94E+00
-1.12E+01,8.94E+00
-1.12E+01,8.94E+00
