N,A
1.23E+02,1.23E+02
1.08E+02,2.60E+01
1.00E+02,2.60E+01
1.00E+02,2.60E+01
1.00E+02,2.60E+01
1.00E+02,2.60E+01
1.00E+02,2.60E+01
1.00E+02,2.60E+01
1.23E+02,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
1.23E+02,2.60E+01
1.23E+02,2.60E+01
0.00E+00,2.60E+01
1.08E+02,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
1.08E+02,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
0.00E+00,2.60E+01
