N,A
-9.55E-01,9.55E-01
-1.02E+00,1.00E+00
-9.83E-01,1.00E+00
-9.83E-01,1.00E+00
-9.83E-01,1.00E+00
-9.83E-01,1.00E+00
-9.83E-01,1.00E+00
-9.83E-01,1.00E+00
-9.55E-01,1.00E+00
-1.00E+00,1.00E+00
-1.00E+00,1.00E+00
-9.55E-01,1.00E+00
-9.55E-01,1.00E+00
-1.00E+00,1.00E+00
-1.02E+00,1.00E+00
-1.00E+00,1.00E+00
-1.00E+00,1.00E+00
-9.76E-01,1.00E+00
-1.00E+00,1.00E+00
-1.00E+00,1.00E+00
-1.02E+00,1.00E+00
-1.02E+00,1.00E+00
-1.00E+00,1.00E+00
-1.00E+00,1.00E+00
-1.02E+00,1.00E+00
-1.00E+00,1.00E+00
-1.00E+00,1.00E+00
-1.00E+00,1.00E+00
-1.00E+00,1.00E+00
-1.00E+00,1.00E+00
-1.00E+00,1.00E+00
-1.00E+00,1.00E+00
-1.00E+00,1.00E+00
-1.00E+00,1.00E+00
-1.02E+00,1.00E+00
-1.00E+00,1.00E+00
-1.00E+00,1.00E+00
-1.00E+00,1.00E+00
-1.00E+00,1.00E+00
-1.00E+00,1.00E+00
-1.00E+00,1.00E+00
-1.02E+00,1.00E+00
-1.02E+00,1.00E+00
-1.00E+00,1.00E+00
-1.02E+00,1.00E+00
-1.00E+00,1.00E+00
-1.00E+00,1.00E+00
-1.00E+00,1.00E+00
-1.00E+00,1.00E+00
-1.00E+00,1.00E+00
-1.00E+00,1.00E+00
-1.00E+00,1.00E+00
-1.00E+00,1.00E+00
-1.02E+00,1.00E+00
-1.00E+00,1.00E+00
-1.02E+00,1.00E+00
-1.00E+00,1.00E+00
-1.00E+00,1.00E+00
-1.02E+00,1.00E+00
-1.00E+00,1.00E+00
-1.00E+00,1.00E+00
-1.02E+00,1.00E+00
-1.00E+00,1.00E+00
-1.00E+00,1.00E+00
-1.00E+00,1.00E+00
-1.00E+00,1.00E+00
-1.00E+00,1.00E+00
-1.00E+00,1.00E+00
-1.00E+00,1.00E+00
-1.00E+00,1.00E+00
-1.00E+00,1.00E+00
-1.02E+00,1.00E+00
-1.00E+00,1.00E+00
-1.00E+00,1.00E+00
-1.00E+00,1.00E+00
-1.00E+00,1.00E+00
-1.00E+00,1.00E+00
-1.00E+00,1.00E+00
-1.02E+00,1.00E+00
-1.02E+00,1.00E+00
-1.00E+00,1.00E+00
-1.02E+00,1.00E+00
-1.00E+00,1.00E+00
-1.00E+00,1.00E+00
-1.02E+00,1.00E+00
-1.00E+00,1.00E+00
-1.00E+00,1.00E+00
-1.00E+00,1.00E+00
-1.02E+00,1.00E+00
-1.02E+00,1.00E+00
-1.00E+00,1.00E+00
-1.02E+00,1.00E+00
-1.00E+00,1.00E+00
