N,A
1.12E-06,1.00E+00
5.22E-05,9.81E-01
1.12E-06,2.78E-02
2.10E-04,7.55E-02
4.23E-02,5.26E-01
2.10E-04,3.77E-01
1.12E-06,6.92E-01
1.12E-06,1.00E+00
4.23E-02,1.00E+00
2.09E-02,3.05E-02
2.10E-04,1.84E-02
5.73E-05,1.00E+00
1.12E-06,7.53E-01
1.12E-06,6.04E-01
1.12E-06,1.00E+00
1.12E-06,1.00E+00
3.20E-05,2.65E-01
2.24E-02,1.00E+00
1.12E-06,3.05E-02
2.10E-04,1.00E+00
1.12E-06,3.05E-02
2.10E-04,1.00E+00
5.73E-05,2.82E-01
3.20E-05,1.00E+00
5.22E-05,1.00E+00
1.12E-06,9.99E-01
2.24E-02,1.00E+00
1.12E-06,2.23E-01
1.12E-06,4.47E-01
1.12E-06,1.00E+00
5.17E-02,9.79E-01
1.12E-06,1.00E+00
5.22E-05,9.79E-01
2.24E-02,7.30E-01
3.20E-05,1.00E+00
1.07E-03,9.81E-01
5.73E-05,1.00E+00
1.07E-03,6.04E-01
1.12E-06,1.00E+00
1.12E-06,1.00E+00
1.48E-03,2.23E-01
1.12E-06,9.79E-01
1.12E-06,9.79E-01
2.09E-02,9.79E-01
1.12E-06,1.00E+00
1.12E-06,1.00E+00
5.59E-04,9.79E-01
5.59E-04,1.00E+00
2.10E-04,6.70E-01
1.12E-06,1.00E+00
2.09E-02,6.97E-01
1.12E-06,6.35E-01
1.12E-06,1.84E-02
1.12E-06,1.00E+00
1.96E-03,6.04E-01
1.12E-06,9.79E-01
3.20E-05,1.00E+00
2.09E-02,5.15E-01
2.09E-02,1.00E+00
1.12E-06,1.00E+00
6.57E-04,9.81E-01
1.07E-03,4.47E-01
4.23E-02,4.87E-01
2.09E-02,1.00E+00
3.20E-05,9.81E-01
6.81E-02,9.79E-01
1.12E-06,1.00E+00
2.09E-02,1.00E+00
1.12E-06,9.81E-01
6.57E-04,1.00E+00
5.73E-02,1.00E+00
2.10E-04,3.05E-02
1.12E-06,1.84E-02
5.22E-05,1.00E+00
6.57E-04,9.79E-01
2.10E-04,3.05E-02
1.12E-06,1.00E+00
1.12E-06,3.20E-01
3.20E-05,9.68E-01
1.96E-03,9.79E-01
2.09E-02,1.00E+00
1.12E-06,6.70E-01
5.73E-05,9.81E-01
1.12E-06,3.05E-02
1.12E-06,3.41E-01
1.12E-06,1.00E+00
5.73E-05,1.00E+00
6.86E-03,1.00E+00
1.12E-06,1.00E+00
1.12E-06,6.70E-01
1.12E-06,7.53E-01
5.73E-05,3.45E-02
1.12E-06,1.00E+00
7.60E-03,1.00E+00
1.12E-06,1.00E+00
5.73E-05,1.00E+00
2.24E-02,1.00E+00
4.23E-02,3.09E-01
5.73E-05,3.05E-02
1.12E-06,4.47E-01
1.12E-06,2.23E-01
1.12E-06,1.04E-02
1.12E-06,1.00E+00
1.12E-06,6.70E-01
1.12E-06,4.85E-01
1.12E-06,9.81E-01
2.24E-02,1.00E+00
5.08E-02,7.53E-01
5.73E-05,1.00E+00
