N,A
-7.14E+00,6.14E+00
-6.00E+00,1.38E+01
-8.31E+00,6.63E+00
-1.12E+01,1.02E+01
-1.17E+01,1.02E+00
-6.00E+00,1.02E+00
-7.14E+00,1.02E+01
-8.87E+00,1.02E+00
-6.00E+00,1.02E+00
-8.31E+00,1.38E+01
-7.14E+00,1.05E+01
-6.00E+00,1.38E+01
-8.11E+00,1.25E+00
-6.00E+00,1.38E+01
-1.03E+01,1.38E+01
-7.07E+00,8.25E+00
-6.00E+00,8.73E+00
-6.00E+00,8.74E+00
-6.00E+00,6.14E+00
-6.00E+00,2.78E+00
-6.00E+00,1.02E+00
-6.00E+00,1.02E+00
-9.15E+00,4.47E+00
-6.00E+00,6.63E+00
-8.60E+00,3.32E+00
-7.14E+00,5.61E+00
-7.62E+00,1.02E+00
-8.11E+00,1.02E+00
-6.00E+00,5.61E+00
-7.55E+00,1.14E+01
-6.00E+00,5.89E+00
-8.87E+00,1.02E+00
-7.16E+00,5.61E+00
-9.36E+00,4.47E+00
-8.78E+00,1.38E+01
-8.60E+00,2.95E+00
-6.00E+00,3.95E+00
-6.00E+00,2.78E+00
-8.11E+00,1.38E+01
-7.14E+00,1.02E+01
-7.62E+00,4.44E+00
-7.62E+00,8.69E+00
-8.85E+00,5.12E+00
-7.62E+00,1.38E+01
-6.49E+00,1.02E+01
-6.00E+00,1.02E+00
-6.00E+00,8.74E+00
-8.29E+00,1.46E+01
-1.22E+01,1.02E+00
-6.49E+00,1.38E+01
-1.17E+01,1.38E+01
-7.14E+00,1.38E+01
-6.00E+00,1.76E+00
-6.00E+00,7.90E-01
-6.00E+00,1.02E+00
-6.00E+00,1.02E+00
-6.00E+00,8.25E+00
-6.00E+00,8.27E+00
-6.00E+00,1.38E+01
-6.00E+00,7.60E+00
-8.87E+00,1.38E+01
-1.03E+01,1.02E+00
-6.00E+00,5.61E+00
-1.03E+01,4.47E+00
-6.00E+00,3.27E+00
-6.00E+00,4.47E+00
-1.17E+01,2.74E+00
-6.00E+00,8.74E+00
-7.62E+00,1.38E+01
-6.00E+00,5.61E+00
-6.49E+00,4.44E+00
-8.87E+00,8.74E+00
-1.17E+01,1.38E+01
-7.62E+00,1.02E+00
-6.00E+00,1.02E+00
-6.00E+00,1.38E+01
-8.29E+00,1.02E+00
-6.00E+00,8.74E+00
-6.00E+00,1.10E+01
-6.00E+00,3.50E+00
-8.60E+00,1.31E+00
-6.00E+00,1.02E+00
-1.17E+01,7.78E+00
-6.00E+00,5.12E+00
-1.99E+00,1.02E+00
-1.08E+01,1.02E+00
-6.00E+00,1.31E+00
-6.00E+00,1.07E+01
-7.07E+00,8.27E+00
-8.87E+00,4.47E+00
-7.14E+00,1.02E+00
-6.00E+00,2.95E+00
-1.17E+01,9.74E+00
-6.00E+00,1.25E+00
-7.62E+00,4.44E+00
-6.00E+00,1.38E+01
-9.36E+00,7.60E+00
-7.62E+00,1.38E+01
-6.00E+00,4.44E+00
-6.00E+00,8.27E+00
-6.00E+00,1.38E+01
-7.43E+00,1.38E+01
-6.00E+00,4.47E+00
-6.00E+00,8.74E+00
-8.11E+00,3.58E+00
-1.03E+01,1.31E+00
-6.00E+00,3.01E+00
-6.00E+00,4.12E+00
-8.87E+00,5.61E+00
-6.00E+00,4.88E+00
-8.85E+00,8.74E+00
