N,A
6.68E-02,2.43E-27
7.26E-04,2.43E+01
1.25E-02,2.43E-27
4.16E-02,2.97E+01
8.89E-03,2.43E+01
4.68E-03,2.63E+01
4.73E-03,2.96E+01
8.89E-03,2.42E+01
8.89E-03,2.63E+01
8.89E-03,2.43E-27
8.89E-03,1.05E+02
8.89E-03,2.96E+01
4.73E-03,2.43E-27
5.95E-03,2.43E-27
5.95E-03,5.34E+02
8.89E-03,2.43E-27
8.89E-03,1.27E+02
8.89E-03,2.42E+01
6.68E-02,2.63E+01
4.73E-03,2.97E+01
1.22E-03,2.96E+01
4.73E-03,4.34E+01
8.89E-03,2.43E-27
5.95E-03,2.43E+01
1.15E-03,2.43E+01
8.89E-03,2.97E+01
8.89E-03,2.42E+01
3.15E-02,2.97E+01
8.89E-03,4.10E+02
8.89E-03,2.43E+01
7.26E-04,2.63E+01
8.89E-03,2.43E+01
4.73E-03,2.63E+01
5.95E-03,2.42E+01
3.15E-02,2.45E+01
8.89E-03,2.96E+01
8.89E-03,1.03E+02
4.68E-03,1.05E+02
8.89E-03,2.43E-27
8.89E-03,2.43E+01
7.26E-04,2.63E+01
5.95E-03,2.63E+01
8.89E-03,2.43E+01
8.89E-03,2.43E+01
3.15E-02,2.63E+01
5.95E-03,2.43E-27
5.95E-03,2.63E+01
8.89E-03,4.14E+02
1.22E-02,2.43E+01
4.73E-03,2.43E-27
1.15E-03,2.63E+01
1.31E-02,2.96E+01
8.89E-03,2.43E-27
8.89E-03,2.43E-27
8.89E-03,2.43E-27
8.89E-03,2.43E-27
5.95E-03,2.63E+01
4.12E-03,1.29E+02
4.68E-03,2.63E+01
8.89E-03,2.43E-27
8.89E-03,2.43E-27
4.73E-03,2.43E-27
8.89E-03,2.43E-27
1.18E-01,2.43E+01
5.95E-03,4.11E+02
5.95E-03,2.43E-27
6.68E-02,2.43E+01
8.89E-03,4.10E+02
8.89E-03,2.43E+01
4.95E-03,4.35E+01
8.89E-03,2.63E+01
4.73E-03,2.42E+01
1.18E-01,2.43E-27
3.69E-03,2.43E+01
3.15E-02,2.43E+01
4.68E-03,2.43E-27
8.89E-03,2.43E+01
6.68E-02,4.11E+02
7.26E-04,9.70E+01
8.89E-03,2.96E+01
8.89E-03,2.63E+01
6.68E-02,2.43E+01
8.89E-03,2.44E+01
6.68E-02,4.19E+02
6.68E-02,4.13E+02
1.15E-03,2.43E+01
8.89E-03,2.42E+01
1.15E-03,2.63E+01
7.49E-02,2.63E+01
7.26E-04,2.43E-27
8.89E-03,2.63E+01
