N,A
-1.12E+00,1.00E+00
-1.22E+00,1.29E+00
-1.12E+00,5.65E-01
-1.14E+00,9.05E-01
-1.01E+00,5.65E-01
-1.12E+00,9.05E-01
-1.01E+00,1.00E+00
-1.15E+00,1.00E+00
-1.12E+00,9.05E-01
-1.01E+00,5.48E-01
-1.01E+00,9.25E-01
-1.01E+00,9.05E-01
-1.01E+00,1.00E+00
-1.10E+00,5.81E-01
-1.01E+00,1.00E+00
-1.15E+00,1.40E+00
-1.24E+00,9.25E-01
-1.24E+00,1.39E+00
-1.13E+00,9.25E-01
-1.01E+00,1.26E+00
-1.01E+00,1.87E+00
-1.10E+00,1.42E+00
-1.85E+00,9.05E-01
-1.01E+00,1.28E+00
-1.01E+00,1.11E+00
-1.36E+00,8.01E-01
-1.01E+00,1.00E+00
-9.96E-01,9.05E-01
-1.36E+00,1.00E+00
-1.47E+00,9.05E-01
-1.01E+00,4.53E-01
-1.01E+00,1.28E+00
-1.15E+00,9.25E-01
-1.15E+00,1.00E+00
-1.01E+00,9.41E-01
-1.01E+00,9.25E-01
-1.15E+00,1.00E+00
-1.87E+00,1.42E+00
-9.58E-01,9.05E-01
-1.10E+00,9.25E-01
-1.01E+00,1.00E+00
-1.14E+00,5.81E-01
-1.24E+00,9.05E-01
-1.15E+00,9.05E-01
-1.01E+00,8.82E-01
-1.36E+00,9.05E-01
-1.10E+00,1.00E+00
-1.01E+00,1.00E+00
-1.01E+00,1.00E+00
-1.15E+00,4.97E-01
-1.01E+00,2.86E+00
-1.24E+00,1.00E+00
-9.96E-01,1.00E+00
-1.01E+00,9.05E-01
-1.01E+00,6.25E-01
-1.01E+00,9.05E-01
-1.10E+00,9.05E-01
-1.01E+00,9.41E-01
-1.12E+00,1.00E+00
-1.01E+00,6.18E-01
-1.01E+00,9.41E-01
-1.01E+00,9.25E-01
-1.15E+00,5.81E-01
-1.14E+00,9.05E-01
-1.10E+00,1.98E+00
-1.14E+00,1.31E+00
-1.24E+00,9.81E-01
-1.01E+00,5.81E-01
-1.15E+00,1.90E+00
-1.01E+00,1.31E+00
-1.14E+00,1.00E+00
-1.45E+00,1.98E+00
-1.01E+00,6.96E-01
-1.01E+00,9.05E-01
-1.10E+00,1.22E+00
-1.24E+00,1.29E+00
-1.01E+00,9.05E-01
-1.01E+00,6.96E-01
-1.47E+00,7.85E-01
-1.11E+00,9.05E-01
-1.47E+00,1.00E+00
-1.10E+00,5.81E-01
-1.01E+00,1.00E+00
-1.24E+00,9.05E-01
-1.47E+00,9.43E-01
-1.01E+00,9.05E-01
-1.01E+00,9.25E-01
-1.24E+00,1.00E+00
-9.96E-01,9.05E-01
-1.01E+00,1.89E+00
-1.01E+00,1.31E+00
-1.15E+00,1.87E+00
-1.24E+00,9.05E-01
-1.15E+00,9.25E-01
-1.01E+00,9.05E-01
-1.01E+00,1.00E+00
-1.04E+00,1.00E+00
-1.15E+00,6.18E-01
-1.36E+00,1.00E+00
-1.01E+00,1.00E+00
-1.01E+00,5.81E-01
-1.24E+00,8.34E-01
-1.01E+00,9.25E-01
-1.24E+00,1.06E+00
-1.14E+00,1.08E+00
-1.01E+00,1.40E+00
-1.01E+00,2.84E+00
-1.17E+00,9.25E-01
-1.87E+00,1.18E+00
-1.01E+00,1.87E+00
-1.01E+00,1.00E+00
-1.01E+00,1.28E+00
-1.01E+00,1.09E+00
-1.01E+00,6.55E-01
-1.36E+00,6.96E-01
-9.96E-01,9.25E-01
-1.22E+00,1.29E+00
-1.01E+00,9.28E-01
-1.36E+00,1.89E+00
-1.01E+00,1.42E+00
-1.01E+00,1.17E+00
-9.96E-01,2.03E+00
-1.01E+00,1.90E+00
-1.01E+00,9.05E-01
-1.01E+00,1.00E+00
-1.36E+00,9.41E-01
-1.24E+00,1.42E+00
-1.15E+00,9.05E-01
-1.15E+00,7.85E-01
-9.96E-01,1.07E+00
-1.22E+00,9.25E-01
-1.24E+00,1.00E+00
-1.01E+00,9.25E-01
-1.01E+00,9.05E-01
-1.01E+00,1.31E+00
-1.01E+00,1.87E+00
-1.24E+00,9.25E-01
-9.96E-01,1.00E+00
-1.01E+00,1.90E+00
-1.01E+00,9.05E-01
-1.01E+00,5.32E-01
-1.36E+00,1.00E+00
-1.24E+00,1.19E-01
-1.01E+00,1.00E+00
-1.11E+00,1.26E+00
-1.01E+00,9.05E-01
-1.36E+00,1.19E+00
-1.01E+00,8.10E-01
-1.01E+00,9.25E-01
-1.01E+00,9.25E-01
-1.01E+00,2.86E+00
-1.01E+00,7.25E-01
-1.01E+00,1.00E+00
-1.15E+00,2.74E+00
-1.87E+00,9.25E-01
-1.01E+00,1.00E+00
-9.96E-01,9.25E-01
-1.01E+00,1.87E+00
-1.36E+00,8.34E-01
-1.01E+00,7.25E-01
-1.01E+00,9.25E-01
-1.10E+00,1.00E+00
-1.01E+00,1.89E+00
-1.01E+00,1.00E+00
-1.01E+00,9.41E-01
-1.12E+00,9.05E-01
-1.10E+00,6.25E-01
-1.01E+00,9.05E-01
-1.47E+00,1.87E+00
-1.36E+00,1.26E+00
-1.01E+00,1.87E+00
-1.14E+00,9.05E-01
-1.01E+00,1.00E+00
-1.14E+00,1.00E+00
-1.01E+00,9.05E-01
-1.10E+00,5.32E-01
-1.01E+00,9.25E-01
-1.01E+00,5.81E-01
-1.01E+00,2.56E+00
-1.32E+00,1.89E+00
-1.87E+00,1.00E+00
-1.01E+00,5.81E-01
-1.04E+00,6.96E-01
-1.01E+00,8.50E-01
-1.01E+00,1.87E+00
-1.15E+00,2.95E+00
-1.15E+00,1.00E+00
-1.36E+00,1.00E+00
-1.01E+00,9.05E-01
-1.01E+00,1.00E+00
-1.24E+00,1.00E+00
-1.10E+00,1.00E+00
-1.15E+00,9.05E-01
-1.10E+00,7.85E-01
-1.01E+00,1.00E+00
-1.15E+00,9.25E-01
-1.01E+00,5.81E-01
-1.01E+00,1.06E+00
-1.01E+00,7.85E-01
-1.01E+00,9.05E-01
-1.21E+00,9.05E-01
-1.45E+00,1.00E+00
-1.14E+00,1.40E+00
-1.01E+00,1.00E+00
-1.01E+00,1.87E+00
-9.96E-01,7.46E-01
-1.22E+00,1.00E+00
-1.15E+00,1.42E+00
-1.01E+00,1.18E+00
-1.14E+00,4.22E-01
-1.01E+00,9.05E-01
-1.15E+00,6.42E-01
-1.01E+00,1.00E+00
-1.01E+00,9.05E-01
-1.01E+00,9.05E-01
-1.01E+00,1.00E+00
-1.22E+00,1.40E+00
-1.01E+00,9.05E-01
-1.10E+00,1.17E+00
-1.01E+00,8.18E-01
-1.01E+00,5.65E-01
-1.01E+00,9.05E-01
-1.01E+00,1.89E+00
-1.01E+00,1.26E+00
-9.96E-01,9.05E-01
-1.01E+00,8.34E-01
-1.24E+00,9.05E-01
-1.01E+00,1.00E+00
-1.04E+00,9.05E-01
-1.24E+00,9.05E-01
-1.15E+00,9.05E-01
-1.01E+00,1.87E+00
-1.01E+00,5.98E-01
-1.01E+00,9.43E-01
-1.13E+00,1.00E+00
-1.13E+00,1.00E+00
-1.47E+00,1.87E+00
-1.01E+00,9.43E-01
-1.01E+00,1.29E+00
-1.01E+00,8.18E-01
-1.01E+00,9.25E-01
-1.85E+00,1.06E+00
-1.21E+00,8.18E-01
-1.01E+00,1.00E+00
-1.10E+00,5.15E-01
-1.01E+00,1.40E+00
-1.01E+00,9.05E-01
-1.24E+00,1.00E+00
-1.13E+00,9.05E-01
-9.96E-01,9.05E-01
-1.83E+00,1.98E+00
-1.14E+00,1.40E+00
-1.24E+00,9.05E-01
-1.01E+00,8.01E-01
-1.01E+00,1.00E+00
-9.96E-01,1.00E+00
-1.14E+00,1.00E+00
-1.01E+00,9.05E-01
-1.15E+00,9.05E-01
-1.01E+00,9.05E-01
-1.01E+00,1.00E+00
-1.01E+00,2.96E+00
-1.14E+00,1.31E+00
-1.24E+00,5.98E-01
-1.01E+00,5.81E-01
-1.41E+00,1.39E+00
-1.15E+00,1.00E+00
-1.15E+00,1.00E+00
-1.01E+00,9.25E-01
-1.01E+00,9.05E-01
-1.24E+00,1.00E+00
-1.10E+00,1.17E+00
-1.01E+00,9.25E-01
-1.10E+00,9.05E-01
-9.96E-01,6.59E-01
-1.47E+00,-1.16E-01
-1.01E+00,9.05E-01
-1.01E+00,9.05E-01
-1.01E+00,6.96E-01
-1.01E+00,9.43E-01
-1.01E+00,7.12E-01
-1.36E+00,9.05E-01
-1.01E+00,1.19E+00
-1.10E+00,9.25E-01
-1.10E+00,9.64E-01
-1.01E+00,9.05E-01
-1.01E+00,9.05E-01
-1.32E+00,1.26E+00
-1.24E+00,9.43E-01
-1.13E+00,2.61E+00
-1.87E+00,1.00E+00
-1.24E+00,9.25E-01
-1.01E+00,9.05E-01
-1.01E+00,1.00E+00
-1.01E+00,8.01E-01
-1.01E+00,9.25E-01
-1.01E+00,5.81E-01
-1.24E+00,9.43E-01
-1.14E+00,9.05E-01
-9.96E-01,5.15E-01
-1.01E+00,1.00E+00
-1.47E+00,9.05E-01
-1.36E+00,1.92E+00
-1.13E+00,5.65E-01
-1.24E+00,1.00E+00
-1.01E+00,9.05E-01
-1.47E+00,1.87E+00
-1.01E+00,1.00E+00
-1.14E+00,1.31E+00
-1.14E+00,1.31E+00
-1.47E+00,7.85E-01
-1.45E+00,7.46E-01
-9.96E-01,1.00E+00
-1.01E+00,9.64E-01
-1.01E+00,1.31E+00
-1.15E+00,1.28E+00
-1.47E+00,1.00E+00
-1.22E+00,8.18E-01
-1.25E+00,9.05E-01
-1.01E+00,9.05E-01
-1.01E+00,1.00E+00
-1.01E+00,9.25E-01
-1.01E+00,1.98E+00
-1.47E+00,1.32E+00
-1.13E+00,9.05E-01
-1.01E+00,1.00E+00
-1.36E+00,1.98E+00
-1.47E+00,8.34E-01
-1.01E+00,1.28E+00
-1.24E+00,1.40E+00
-1.15E+00,5.48E-01
-1.01E+00,1.00E+00
-1.01E+00,1.06E+00
-1.01E+00,1.00E+00
-1.01E+00,5.48E-01
-1.01E+00,1.29E+00
-1.36E+00,1.30E+00
-1.01E+00,1.06E+00
-1.01E+00,2.74E+00
-1.01E+00,1.87E+00
-1.12E+00,6.42E-01
-1.01E+00,9.05E-01
-1.14E+00,1.00E+00
-1.10E+00,1.00E+00
-1.47E+00,1.08E+00
-1.01E+00,5.65E-01
-1.01E+00,9.43E-01
-1.14E+00,1.28E+00
-1.01E+00,9.05E-01
-1.14E+00,1.31E+00
-1.01E+00,1.87E+00
-1.15E+00,5.65E-01
-1.36E+00,9.05E-01
-1.10E+00,9.25E-01
-1.14E+00,8.01E-01
-1.01E+00,1.00E+00
-1.14E+00,1.98E+00
-1.22E+00,1.42E+00
-1.01E+00,8.01E-01
-1.01E+00,1.28E+00
-1.10E+00,9.05E-01
-1.14E+00,9.05E-01
-1.01E+00,5.48E-01
-1.01E+00,1.00E+00
-1.36E+00,9.05E-01
-1.01E+00,1.31E+00
-1.14E+00,4.01E-01
-1.04E+00,1.00E+00
-1.14E+00,9.05E-01
-1.01E+00,8.34E-01
-1.01E+00,1.00E+00
-1.14E+00,8.01E-01
-1.24E+00,6.25E-01
-1.44E+00,1.31E+00
-1.11E+00,1.98E+00
-1.01E+00,5.65E-01
-1.36E+00,6.87E-01
-1.01E+00,1.06E+00
-1.01E+00,1.96E+00
-1.01E+00,6.59E-01
-1.14E+00,1.00E+00
-1.01E+00,9.28E-01
-1.15E+00,9.05E-01
-1.01E+00,9.05E-01
-1.36E+00,2.56E+00
-1.24E+00,9.25E-01
-1.24E+00,8.18E-01
-1.15E+00,1.40E+00
-1.24E+00,1.00E+00
-1.44E+00,5.48E-01
-1.01E+00,9.05E-01
-1.01E+00,1.00E+00
-1.12E+00,1.28E+00
-1.12E+00,1.00E+00
-1.47E+00,9.05E-01
-1.36E+00,7.12E-01
-1.15E+00,1.06E+00
-1.01E+00,8.34E-01
-1.21E+00,1.28E+00
-1.01E+00,7.85E-01
-1.24E+00,1.00E+00
-1.01E+00,1.26E+00
-1.24E+00,1.44E+00
-1.15E+00,8.34E-01
-1.01E+00,9.28E-01
-1.15E+00,1.00E+00
-1.15E+00,1.42E+00
-1.01E+00,9.05E-01
-1.01E+00,2.00E+00
-1.01E+00,9.05E-01
-1.01E+00,1.42E+00
-1.24E+00,5.81E-01
-1.14E+00,2.00E+00
-1.01E+00,1.00E+00
-1.36E+00,1.31E+00
-1.13E+00,1.00E+00
-1.22E+00,1.00E+00
-1.01E+00,6.96E-01
-1.01E+00,1.00E+00
-1.01E+00,1.00E+00
-1.01E+00,1.96E+00
-1.01E+00,1.31E+00
-1.15E+00,1.00E+00
-1.01E+00,1.33E+00
-1.15E+00,9.05E-01
